Name,50 Free Time,50 Free FINA,Place of 1000,Percentile,Name,100 Back Time,100 Back FINA,Place of 1000,Percentile,Name,100 Breast Time,100 Breast FINA,Place of 1000,Percentile
Swimmer_1,17.63,1000.0,1,100.0,Swimmer_1,43.2,1000.0,1,100.0,Swimmer_1,49.51,1000.0,1,100.0
Swimmer_2,18.25389067186999,999.1991991991991,2,99.9,Swimmer_2,44.93832246532948,999.1991991991991,2,99.9,Swimmer_2,50.14911077275336,999.1991991991991,2,99.9
Swimmer_3,18.271212242512362,998.3983983983984,3,99.8,Swimmer_3,44.96764365856585,998.3983983983984,3,99.8,Swimmer_3,50.20224169471614,998.3983983983984,3,99.8
Swimmer_4,18.405127554076767,997.5975975975975,4,99.7,Swimmer_4,45.145337824169786,997.5975975975975,4,99.7,Swimmer_4,50.23389305035729,997.5975975975975,4,99.7
Swimmer_5,18.46602456815143,996.7967967967968,5,99.6,Swimmer_5,45.37858620328121,996.7967967967968,5,99.6,Swimmer_5,50.29506154069754,996.7967967967968,5,99.6
Swimmer_6,18.996190800016674,995.9959959959959,6,99.5,Swimmer_6,45.47854799783319,995.9959959959959,6,99.5,Swimmer_6,51.2237261187955,995.9959959959959,6,99.5
Swimmer_7,19.02715775726875,995.1951951951952,7,99.4,Swimmer_7,45.59290779257966,995.1951951951952,7,99.4,Swimmer_7,51.33556951276223,995.1951951951952,7,99.4
Swimmer_8,19.1001457131124,994.3943943943943,8,99.3,Swimmer_8,45.596912660530485,994.3943943943943,8,99.3,Swimmer_8,51.357923133855714,994.3943943943943,8,99.3
Swimmer_9,19.10063539872522,993.5935935935936,9,99.2,Swimmer_9,45.6492685551712,993.5935935935936,9,99.2,Swimmer_9,51.530702908787845,993.5935935935936,9,99.2
Swimmer_10,19.126401462246243,992.7927927927927,10,99.1,Swimmer_10,45.7612460489466,992.7927927927927,10,99.1,Swimmer_10,51.5917631385776,992.7927927927927,10,99.1
